chr	po	NAME	TCGA.A1.A0SK.01A	TCGA.A1.A0SO.01A	TCGA.A2.A04W.01A	TCGA.A2.A0D0.01A	TCGA.A2.A0D1.01A	TCGA.A2.A0EQ.01A	TCGA.A2.A0ET.01A	TCGA.A8.A06N.01A	TCGA.A8.A06Y.01A	TCGA.A8.A06Z.01A	TCGA.A8.A081.01A	TCGA.A8.A083.01A	TCGA.A8.A08J.01A	TCGA.A8.A09X.01A	TCGA.AN.A04D.01A	TCGA.AN.A0FJ.01A	TCGA.AN.A0FV.01A	TCGA.AN.A0FZ.01A	TCGA.AO.A0J2.01A	TCGA.AO.A0J3.01A	TCGA.AO.A0J6.01A	TCGA.AO.A0JC.01A	TCGA.AO.A0JI.01A	TCGA.AO.A0JL.01A	TCGA.AO.A124.01A	TCGA.AO.A125.01A	TCGA.AO.A12B.01A	TCGA.AO.A12D.01A	TCGA.AO.A12H.01A	TCGA.AQ.A04L.01B	TCGA.AR.A0TP.01A	TCGA.AR.A0TR.01A	TCGA.AR.A0TV.01A	TCGA.AR.A1AI.01A	TCGA.AR.A1AS.01A	TCGA.B6.A0I2.01A	TCGA.B6.A0IA.01A	TCGA.B6.A0IC.01A	TCGA.B6.A0RL.01A	TCGA.B6.A0RM.01A	TCGA.B6.A0RS.01A	TCGA.B6.A0X4.01A	TCGA.B6.A0X5.01A	TCGA.BH.A0DL.01A	TCGA.BH.A0E0.01A	TCGA.BH.A0EE.01A	TCGA.BH.A0HW.01A	TCGA.BH.A18N.01A	TCGA.C8.A12L.01A	TCGA.C8.A12M.01A	TCGA.C8.A12P.01A	TCGA.C8.A12U.01A	TCGA.C8.A133.01A	TCGA.D8.A13Y.01A	TCGA.D8.A13Z.01A	TCGA.E2.A14Y.01A	TCGA.E2.A158.01A	TCGA.E2.A15K.06A	TCGA.E2.A15R.01A	TCGA.E2.A1B0.01A
2	99827808	AFF3	-1.238	-1.881	-1.376	-1.297	1.755	1.066	0.104	2.368	0.942	2.475	1.073	1.843	-1.844	-0.392	-1.637	-1.16	-0.842	2.007	-0.76	3.004	-1.065	0.567	0.247	-2.455	-0.649	1.682	0.921	-1.849	1.926	0.012	-1.8	0.396	0.683	-2.196	-1.452	-1.323	0.81	1.344	2.247	1.874	-2.072	0.786	0.696	-1.855	-1.955	-2.225	1.094	1.788	-1.518	1.829	-1.949	1.154	1.569	-1.107	-2.392	-2.062	-2.328	1.095	1.838	-2.375
2	100280906	LONRF2	1.756	-0.458	-1.84	-0.99	0.552	-1.842	2.735	1.021	0.786	-1.074	-0.897	2.636	-0.749	-1.543	1.18	-3.785	-1.94	-3.8	-1.241	1.059	-1.954	-0.789	2.253	-2.01	-1.129	1.792	0.567	-1.31	1.118	-0.744	-0.581	1.778	3.004	-5.532	-0.103	-4.979	1.433	3.1	0.362	1.932	-4.161	1.869	1.002	-3.357	-1.546	-3.669	1.504	1.741	0.175	1.844	-4.411	0.219	0.51	-0.213	-3.365	-4.312	2.596	2.332	2.519	-3.449
2	101996586	IL1R2	-0.347	-0.788	0.075	1.575	-1.168	1.1	-0.927	0.363	-0.46	-1.185	0.38	-1.344	-0.793	0.41	-0.814	2.689	-1.421	-1.301	-0.27	-1.672	2.524	2.266	0.437	-0.183	1.97	-0.129	-1.678	0.864	-1.804	-1.016	-0.895	-0.704	-0.054	1.893	-1.319	2.683	0.768	-1.65	-1.394	-0.265	0.877	-1.605	-1.423	1.891	2.918	0.401	-0.162	-1.773	-0.135	-0.769	0.084	0.237	-2.285	-1.083	1.922	1.081	1.349	-1.647	-0.419	-0.028
2	102149800	IL1R1	-2.287	-1.022	1.164	1.027	-0.938	0.102	-2.72	2.249	0.639	0.184	-1.496	1.046	-0.636	0.692	0.085	-0.291	-0.64	-1.077	-0.286	0.128	-1.032	0.146	3.6	-0.465	-0.953	-3.57	-0.935	2.694	-0.129	-1.184	-1.837	-1.682	-1.503	0.229	-1.727	-0.813	1.298	-0.39	1.339	2.604	0.329	-3.211	-2.434	1.749	-0.543	-1.079	0.229	-2.425	-0.798	-2.158	0.819	-2.476	-3.748	-1.244	-0.023	-0.22	-1.742	-3.421	-0.651	0.19
2	102418570	IL18RAP	-1.396	-0.544	0.01	0.816	0.342	2.651	0.573	-1.076	-2.373	-1.311	2.196	-0.552	-0.598	1.459	-1.466	-0.357	-1.983	-1.585	1.538	-0.875	2.027	2.471	-1.132	-1.46	-0.45	-2.168	-1.407	1.997	-2.214	-1.993	-2.072	-0.305	0.978	2.442	-2.923	2.447	-2.226	-1.592	-2.671	-1.041	1.184	-2.115	-1.902	2.371	0.561	2.282	-2.243	-1.292	0.769	0.586	0.21	1.086	-2.066	-2.212	1.235	0.366	-0.138	-1.958	-1.302	1.24
2	102648419	SLC9A2	0.234	-1.918	1.249	-0.87	-1.726	1.4	-1.136	-2.548	1.391	1.713	-1.367	-2.089	-1.51	3.704	0.079	1.753	1.784	-1.956	0.685	-2.888	0.179	-1.733	1.326	-1.665	1.265	-1.868	-1.349	1.367	1.196	-2.055	-1.76	1.915	-2.067	-0.388	-1.23	-0.667	1.056	-2.662	-1.721	-0.332	0.278	-1.428	-1.855	1.008	-1.335	2.085	-1.43	-1.98	-1.804	-1.496	1.005	-0.396	1.5	0.896	-1.612	-1.722	-1.524	-2.454	1.169	1.743
2	105362914	FHL2	-1.345	0.034	-0.391	1.931	-0.393	-3.547	-3.029	-0.986	0.671	-1.025	-3.365	-1.07	-1.379	-1.98	-2.268	-0.461	0.03	-0.3	0.02	-2.264	-0.331	-2.839	-2.296	-0.997	1.764	0.842	3.917	1.987	0.746	0.388	0.533	-3.375	0.096	-0.528	1.278	-0.64	0.237	-2.407	-1.433	2.715	-1.724	-0.681	0.443	0.377	-0.288	-0.887	-0.546	0.813	0.692	-2.495	-0.554	-2.39	0.111	-2.406	0.114	-0.039	-2.438	-0.678	-1.52	0.322
2	106054792	C2orf40	0.562	-0.206	-1.781	1.592	-0.407	-1.8	-2.082	-3.063	-0.466	-1.595	-0.587	-1.41	-1.435	-1.537	0.195	-0.235	-0.368	-1.637	-3.302	-1.981	-2.336	-0.138	1.826	-2.57	0.641	-2.801	-1.921	-0.744	0.457	-2.461	1.367	-1.082	-1.919	1.285	-2.4	-2.649	-2.706	-2.803	-2.83	-1.149	-2.155	0.199	-2.388	-1.295	-0.594	-2.896	-2.689	-0.569	-1.62	-2.187	-2.062	-2.257	-2.896	0.493	-0.085	-2.071	-1.129	-2.162	-0.01	0.106
2	111132018	BUB1	1.717	2.437	0.701	4.107	1.183	0.984	-1.023	-1.268	-1.74	0.213	0.385	-1.945	0.013	0.272	1.74	1.063	-0.296	-0.496	1.622	-0.175	0.834	-0.042	0.303	1.427	2.241	-1.088	-0.974	0.894	-1.213	-1.257	1.126	-1.352	0.524	1.961	-1.252	0.78	-0.067	-0.758	0.579	-0.234	0.607	-2.029	0.533	0.95	1.048	0.561	-0.524	-1.296	1.587	-0.588	1.074	1.532	-1.835	1.347	0.913	1.277	0.286	-0.695	0.2	0.509
2	113225320	CKAP2L	2.216	2.748	0.05	1.504	0.657	0.913	-0.315	-0.778	-2.503	0.502	1.135	-2.501	0.593	0.895	2.515	-0.71	0.294	-0.52	1.411	0.516	1.054	0.351	0.743	0.806	2.09	-0.555	-0.496	-0.03	-1.367	-0.331	1.21	-0.603	1.413	0.009	-1.013	0.671	0.57	-0.032	1.74	0.713	0.509	-1.397	1.836	1.229	0.495	0.874	0.065	-0.783	0.255	-0.848	-0.002	2.167	-2.099	0.436	0.644	0.305	-0.767	-0.949	-0.131	-0.748
2	113307317	IL1B	-0.878	-0.934	-1.597	2.167	-1.995	0.675	1.892	-0.908	-1.7	0.258	-0.637	-0.168	-0.374	-0.098	-2.401	-0.493	-0.87	-0.732	-0.545	-1.163	1.38	1.102	-2.875	-1.963	0.303	-1.02	-0.448	-0.032	0.802	-0.67	-1.166	-0.849	-0.097	0.384	0.973	1.155	-0.355	0.377	-0.534	-1.009	1.336	-0.636	-1.438	1.852	-1.327	-0.925	-2.127	0.822	0.047	-1.091	-0.351	-0.754	-0.427	-1.92	1.276	0.492	-1.546	1.227	0.232	-0.516
2	119319222	EN1	4.281	3.828	0.043	4.921	4.915	-1.752	2.944	-1.96	-2.12	-2.19	-2.01	-1.126	0.559	-0.118	4.923	1.102	0.247	0.557	-0.458	-2.225	2.893	-0.118	-2.15	6.239	3.609	-2.697	-1.506	2.026	-0.682	0.207	4.695	-0.9	-1.824	-1.875	-0.1	-1.937	-1.488	-2.985	-2.445	-0.633	3.805	-1.704	-1.143	2.148	5.005	3.635	-1.58	-0.765	-1.31	-1.03	0.803	-1.938	-2.598	-0.37	-0.308	2.904	4.011	-1.419	-0.757	0.349
2	119442460	MARCO	0.42	0.287	-0.002	0.888	0.56	1	-0.07	-0.799	-1.781	-1.575	1.228	0.655	0.87	0.84	-0.19	0.786	-0.046	-0.229	0.578	-1.673	1.481	-0.643	-1.167	0.705	1.064	-3.252	-2.8	1.543	-2.974	0.261	1.478	0.733	0.753	1.157	-0.537	0.978	-2.112	-0.172	-1.712	-2.928	0.94	-2.966	-2.623	1.128	1.928	0.448	1.139	-2.142	1.139	-0.994	0.607	0.015	-2.314	0.549	0.959	0.335	0.572	-2.398	-2.92	1.238
2	120823020	INHBB	0.569	1.142	2.468	1.657	2.493	-2.472	-1.816	-0.343	-0.656	0.968	-1.075	0.208	-0.409	1.741	-0.066	-1.688	-0.168	1.712	1.492	-0.787	-2.656	-0.899	-1.126	0.313	-1.643	0.398	0.43	1.282	-0.34	1.647	1.334	-2.985	-0.215	-3.639	0.301	2.053	1.226	-0.146	-0.905	-0.585	2.769	-0.345	0.965	-0.791	-2.884	0.595	0.876	0.413	-0.022	1.027	0.94	-0.805	-2.24	-0.63	0.147	0.95	-2.929	0.136	0.527	0.864
2	121724940	TFCP2L1	0.126	1.109	-1.826	2.269	-2.764	-2.891	0.214	2.055	1.326	1.585	-0.212	1.647	-1.985	-1.747	2.481	2.312	-2.468	2.946	-2.575	1.661	1.843	-0.119	2.003	0.774	1.724	-2.124	0.446	-1.827	-0.477	-1.757	0.856	0.087	1.823	2.893	-0.737	2.578	0.94	-0.653	0.79	2.496	-0.388	-1.591	-0.056	2.13	0.88	-2.648	2.508	1.343	0.245	3.214	-1.712	-1.288	-0.722	-0.628	0.37	2.308	2.246	-3.288	1.825	-1.898
2	130616251	CCDC74B	0.708	-1.729	-1.423	-1.571	-2.194	-0.76	1.627	2.566	-0.424	0.954	0.027	-1.146	-1.874	-3.142	-1.391	-0.543	-1.654	-0.003	-2.401	0.393	-1.357	-0.09	1.639	-1.042	-2.831	1.089	3.965	-2.732	1.259	2.481	-1.398	0.662	0.698	-4.254	-1.142	-3.031	-1.551	0.561	0.214	1.059	-3.419	-1.897	0.5	-3.077	-0.918	-1.711	0.89	0.504	-1.089	-0.561	-2.68	-3.583	1.033	2.133	-1.672	-2.904	-0.769	1.657	2.639	-2.572
2	135344364	ACMSD	-0.015	-0.609	-0.827	-1.087	-1.082	-1.117	-0.508	-1.327	3.427	3.042	0.406	-0.63	0.124	-0.902	-0.494	-0.761	-0.145	0.23	-0.559	-0.839	-0.565	-0.8	-0.051	-0.41	0.295	3.033	3.534	-1.09	-0.633	3.84	-0.786	3.653	-0.883	-1.784	4.847	-2.613	4.007	2.398	-0.494	-0.363	-0.497	3.909	-0.076	-1.454	-0.996	-0.533	1.224	4.24	5.516	0.205	-0.741	-0.301	0.599	-0.46	-1.152	-0.949	-2.147	4.197	0.003	-1.026
2	136286552	LCT	2.583	4.386	0.418	-0.691	0.451	-0.346	0.009	-0.118	-0.066	-0.597	0.464	-1.884	0.468	6.752	3.39	4.47	-0.002	-0.902	3.842	-0.471	0.477	-0.048	-0.848	3.898	4.631	-0.528	0.065	4.622	-0.486	0.354	1.386	-0.064	0.074	0.64	-1.289	3.117	-0.355	-0.094	-0.242	-0.471	4.251	1.067	0.863	-0.554	-0.143	1.607	0.258	-0.744	5.88	-0.805	5.277	0.288	-0.725	1.168	-0.278	0.809	3.607	-0.067	0.018	4.809
2	141655602	LRP1B	1.796	-0.868	-0.778	0.554	-1.564	-0.842	0.225	-0.871	-0.715	-0.405	-0.258	-0.934	-0.743	-1.43	0.066	-1.871	0.024	2.404	0.041	-1.467	-0.727	-0.574	-0.92	-2.141	-0.298	3.368	3.916	-1.381	0.261	-0.471	1.872	-0.945	-0.658	-2.023	-1.51	-0.943	-0.944	5.636	-0.424	1.362	-0.488	-0.032	4.701	0.671	-0.336	1.555	-1.675	-1.268	1.234	0.069	-0.236	-0.956	-0.044	2.821	-0.64	1.634	-0.514	0.786	-0.121	-1.608
2	143434010	KYNU	3.785	-0.523	-0.318	-0.524	-1.13	0.455	-0.24	-1.417	-1.108	-0.874	-0.366	1.14	1.854	3.02	-1.733	-0.675	2.539	-0.619	2.931	-0.96	2.433	0.89	-0.562	-0.556	1.633	-1.65	-1.051	3.096	-1.013	-0.801	-1.015	-1.138	0.383	2.178	2.929	2.879	2.156	-1.253	-0.576	0.532	2.718	-1.064	2.29	1.769	-0.701	2.082	-1.021	-0.792	4.431	-0.787	3.304	0.05	-0.855	-0.962	0.448	2.068	-0.146	-0.778	-1.071	0.333
2	149967090	LYPD6	0.86	1.59	-2.099	-1.717	-2.807	-0.609	0.925	0.212	-1.187	1.293	0.488	1.984	-1.167	-1.255	0.755	-1.886	-2.278	-0.248	-0.379	0.185	-1.64	1.526	-0.326	-2.214	-1.05	0.779	-0.478	-2.757	2.267	-2.6	-1.289	2.46	1.711	-1.76	-3.649	-0.153	-1.153	1.914	-0.374	0.847	1.875	-0.938	1.981	-2.864	-1.532	-1.135	0.465	1.712	0.438	0.646	-2.669	0.451	-2.283	0.723	-2.24	-2.406	-2.742	1.976	1.43	1.206
2	151042704	RND3	1.165	-1.435	1.549	0.613	0.356	0.793	-0.903	0.671	-2.118	-0.545	-0.043	0.757	-0.72	0.486	-1.323	-0.277	-1.046	-1.21	-0.004	-1.416	1.315	0.058	0.354	-0.408	0.79	-1.676	-0.836	1.41	0.692	0.612	-0.01	-1.42	-3.18	1.027	-0.517	0.999	-2.978	0.989	-1.012	0.763	3.267	1.104	0.583	0.48	-2.739	-0.081	0.831	-0.303	0.903	-2.226	-0.102	-1.175	-0.857	-0.861	-0.147	0.671	-1.334	-2.578	-0.934	0.807
2	152174672	NEB	4.242	-1.321	1.574	-1.737	2.421	0.853	-0.287	-0.145	-1.712	1.302	2.418	0.352	1.096	0.456	0.593	-1.089	0.639	-0.937	-1.321	-0.669	0.681	1.516	-1.867	-0.687	2.345	0.559	0.481	1.859	1.253	-0.253	2.04	0.169	0.779	1.021	-1.229	0.614	-1.882	2.262	-0.299	7.348	-0.709	0.693	-0.068	2.688	1.363	-1.041	0.931	1.178	-0.266	-1.404	-0.137	-0.629	-0.594	3.336	-0.818	-0.156	2.251	3.906	-0.268	0.258
2	152530685	CACNB4	2.41	-0.448	2.145	-2.279	-0.35	-1.138	-0.156	-0.449	1.04	-0.769	2.384	1.134	-0.489	1.1	-1.037	-0.415	-0.573	1.499	1.498	-0.997	-1.571	0.208	-0.618	-3.196	0.211	-0.246	2.083	-0.666	0.102	-0.231	-1.244	-0.233	-0.837	-2.493	-0.331	-1.602	-0.312	1.399	-0.31	0.449	-0.456	0.035	-0.797	-0.671	2.244	-0.03	0.227	0.356	-1.213	0.456	1.431	3.116	-1.347	1.735	0.674	-1.346	-1.249	-0.032	-0.226	-0.879
2	154727703	GALNT13	2.119	3.409	0.000625	-1.516	-1.149	-1.424	-0.315	-1.126	-1.049	-1.094	-0.818	-1.043	0.346	0.404	1.899	4.636	0.286	0.27	1.234	-0.845	-1.079	-0.029	-1.896	1.528	1.434	-1.514	5.224	1.636	-0.647	0.517	3.103	-0.763	-0.92	-1.585	-0.109	-0.454	-0.615	-0.617	-0.996	-0.55	-0.232	-0.374	0.851	1.009	-0.16	1.378	0.805	-0.333	3.316	-0.433	1.23	-0.487	-0.727	1.119	0.091	-0.577	4.227	-1.479	-0.541	-0.001
2	155343224	KCNJ3	-1.197	-1.674	-1.375	-1.387	5.981	-1.121	3.898	5.556	3.136	5.64	2.379	5.254	3.823	-2.024	-1.935	-0.77	3.545	6.31	-1.511	4.514	-1.458	-1.48	4.868	-1.387	-1.035	2.318	5.731	-1.49	3.453	-1.425	-1.734	3.529	4.725	-2.637	-1.64	-1.655	-0.91	5.708	-0.488	0.69	-1.302	5.791	3.946	-1.872	-1.426	-1.554	6.006	4.783	-0.952	6.044	-1.377	5.489	1.703	3.441	-2.21	-1.86	-2.421	5.104	5.264	-0.366
2	156893361	NR4A2	-1.051	-0.337	0.72	-1.93	-1.587	-0.127	1.154	-1.994	-2.311	2.889	0.404	1.358	-0.131	-1.465	0.085	-0.696	-1.408	-2.306	1.366	-0.946	-2.013	0.154	-0.614	-0.644	-2.143	0.715	2.54	-0.262	0.922	0.206	2.975	0.061	0.341	-1.474	-1.851	0.783	0.578	-0.15	-1.332	-0.457	1.289	2.501	0.605	-1.204	-1.334	0.305	0.451	1.665	0.909	-1.734	-1.834	0.416	2.079	1.977	0.012	1.208	-0.65	0.578	-0.867	-0.142
2	157849372	GALNT5	-2.199	-1.419	2.672	-1.947	-0.769	-1.109	-1.729	-2.374	-0.981	-0.959	-1.706	1.858	0.894	0.023	-1.555	-0.432	0.661	0.503	-0.687	-1.711	-1.413	-2.921	-1.761	-0.47	0.278	2.589	2.699	0.571	-0.646	0.169	-0.28	2.173	-1.298	-0.94	-0.596	-0.78	-0.767	0.644	-2.613	-1.447	-1.485	2.896	1.108	-1.206	-1.369	-2.187	-1.146	-0.809	-0.203	-1.6	0.695	-1.29	1.723	2.482	0.522	-0.84	-1.272	3.867	-0.821	-0.173
2	158126921	ACVR1C	-0.885	-1.479	-1.071	-1.368	0.114	-0.003	1.033	-0.717	-1.478	-0.258	-0.06	0.086	-0.483	-0.58	-0.917	2.351	-0.304	0.629	-0.302	0.867	-0.395	1.178	0.347	-2.047	-1.139	-1.413	2.911	-0.018	1.201	-1.463	-0.627	-1.34	0.154	-1.716	-1.983	-0.195	-1.936	0.252	-1.023	-1.099	0.044	0.623	1.972	3.736	1.067	-1.703	-1.555	-1.389	0.957	-0.954	-1.245	-0.855	0.468	1.271	-1.46	1.153	-1.129	0.651	0.621	0.006
2	159370408	DAPL1	1.802	-0.811	3.805	-0.642	-2.144	0.078	2.801	-0.949	-1.734	-3.181	4.741	-2.737	-2.132	-2.463	-2.74	5.29	-2.142	2.801	2.226	-1.963	-2.525	-0.755	-0.442	-0.109	2.343	-3.231	6.379	3.563	-2.758	-0.958	-0.608	-1.655	-2.132	0.998	1.101	2.892	2.674	-2.855	1.239	-3.103	5.9	0.089	-1.601	-0.628	0.342	0.876	-2.247	-3.08	-1.379	-2.407	3.741	0.206	-2.156	5.329	2.446	1.173	-2.961	4.751	0.595	2.915
2	160418813	LY75	-2.048	-0.266	0.594	1.071	-2.975	0.783	-1.38	0.205	2.01	-1.714	2.13	-2.954	-1.75	-0.262	-2.017	1.996	-2.176	-2.27	0.698	-1.779	1.41	2.38	-1.292	0.134	-0.001	-3.686	-1.589	1.043	-2.733	-1.885	1.677	0.945	0.619	1.316	-2.348	-0.452	-1.146	0.182	-3.667	-1.747	0.2	0.398	-3.272	1.59	-1.015	1.023	0.618	-2.689	-0.348	-1.022	-1.4	-0.909	-3.613	-1.974	0.095	0.297	1.08	-0.47	-2.112	0.724
2	160715657	ITGB6	0.054	-1.83	1.381	1.003	3.566	-0.506	-0.419	-2.89	-0.601	-1.573	-0.491	-0.781	2.752	-1.538	-0.303	-0.542	1.353	-0.873	1.958	-2.155	-0.783	-3.064	-2.736	-1.156	-1.266	0.504	-1.887	0.701	-2.471	-1.47	0.064	0.364	-2.262	2.236	2.249	-0.096	0.115	0.045	-2.331	-1.312	0.996	-0.86	-0.408	1.73	-1.596	2.355	-1.541	0.075	2.629	-3.21	2.633	-2.861	-2.46	-2.597	1.905	1.109	-2.993	2	-1.966	2.678
2	162598149	DPP4	-3.064	-1.57	0.107	-0.523	0.236	-0.308	-1.466	-2.515	-2.067	-0.413	-0.946	-2.15	-0.628	-0.038	-2.131	-0.613	0.444	-1.073	-0.993	-2.213	-0.695	0.981	-0.317	1.907	-1.162	-2.984	-1.948	0.425	-1.953	0.682	-1.513	-1.628	-1.597	-1.101	0.271	-1.742	-0.303	-2.149	-2.159	-1.116	0.095	-2.418	-1.591	0.12	-0.415	-1.491	-1.869	-1.109	2.001	-2.132	0.752	-1.523	1.534	-1.131	0.577	-1.25	-2.64	-3.459	-1.341	0.729
2	162771868	FAP	-1.336	-2.28	0.874	-1.608	-0.501	-0.619	-2.578	-4.817	-1.47	-1.811	-1.773	-2.661	0.773	0.133	-2.276	-0.713	0.08	0.817	-0.836	-3.064	-2.109	-2.191	-1.381	-0.728	-2.657	-4.651	-2.6	1.173	-1.871	0.711	-1.852	-3.987	-1.433	-2.41	-0.006	-2.49	-2.083	-4.001	-4.459	-0.875	-0.224	-2.968	-1.052	-1.487	-2.106	-2.715	-2.509	-0.879	-0.177	-1.315	0.622	-2.113	-4.332	-0.906	0.427	-1.065	-1.894	-3.959	-0.527	0.84
2	165122087	GRB14	-0.068	2.689	-2.511	1.594	5.144	-2.802	-1.228	0.358	0.064	6.12	-1.22	-2.237	-2.01	-1.153	0.165	2.292	4.58	-0.046	0.388	0.629	3.412	-0.684	-1.96	5.876	2.443	2.821	-1.18	-0.136	-2.626	-0.539	1.695	4.233	-2.886	2.21	4.772	1.411	2.608	-2.136	-3.031	-0.646	0.25	-1.395	3.114	-0.806	-1.105	-2.534	-0.933	-2.114	1.668	3.319	-2.264	-2.033	-2.353	0.569	-2.346	1.248	2.565	-2.245	-0.725	-0.764
2	166335804	GALNT3	-2.002	2.083	2.146	0.842	0.097	-0.502	-0.844	-1.183	0.203	-0.591	1.602	-0.867	-0.175	0.618	0.986	1.377	0.598	0.139	1.466	-2.506	0.195	-1.53	-0.551	0.429	0.938	-4.805	-0.185	2.228	-0.07	1.514	1.041	-4.07	-4.385	1.071	-1.368	0.921	-4.842	-4.316	-4.566	-3.757	1.514	-1.161	0.873	0.399	-0.069	1.832	-1.226	-2.721	2.163	-0.846	0.719	-0.011	-1.293	-2.263	0.717	1.129	2.057	-0.036	-4.048	1.723
2	169398720	NOSTRIN	-3.506	-2.541	0.019	-3.13	-1.166	-1.487	0.844	-0.068	-0.259	-0.946	-0.951	0.123	-1.941	0.265	-1.97	-1.497	-1.212	-0.11	-0.838	-0.337	-2.241	-0.411	-0.011	-1.748	-1.314	1.383	0.985	-1.099	1.427	-2.258	-0.852	2.541	0.53	-1.715	0.147	-0.864	0.834	1.24	1.616	0.709	-0.859	0.917	0.193	-2.172	-2.013	-0.463	-0.209	0.198	-0.952	1.209	0.414	-1.988	2.003	-2.042	-0.701	-2.009	-2.163	1.741	1.36	0.444
2	169646356	DHRS9	-2.141	-1.155	2.152	-1.682	-1.41	1.86	-0.649	-1.307	-2.17	-1.212	1.808	-0.633	-0.299	0.781	-2.112	-1.172	-1.135	-2.079	-0.383	-1.163	-0.853	2.763	2.709	-3.128	-1.435	-2.227	-1.404	0.316	-1.553	-1.801	-1.58	3.18	0.385	1.428	-0.701	0.533	-1.66	-1.748	-2.07	0.333	0.792	-0.519	-0.745	1.327	0.303	0.915	-1.433	-1.777	0.577	0.302	1.472	0.497	-0.498	-1.018	2.233	-0.387	-2.078	-0.947	0.036	1.451
2	169809616	LRP2	-0.775	-3.087	-2.632	-0.164	-3.409	-1.522	0.269	1.074	-0.695	1.365	1.452	1.544	-1.867	-3.305	-3.132	-3.631	-3.265	-1.193	-2.621	1.636	-2.594	0.245	-1.44	-0.918	-1.182	1.366	1.769	-1.788	1.685	-3.135	-1.069	1.742	-0.989	1.303	-3.109	-2.927	-2.616	1.421	0.439	1.509	-2.639	2.014	0.747	-2.945	-3.02	1.216	1.159	-2.052	-1.776	0.816	-3.2	0.404	2.612	-3.089	-2.912	-3.009	-3.554	1.615	1.067	-3.689
2	170981410	MYO3B	2.124	-0.331	1.377	0.37	-0.311	0.051	-0.06	0.066	3.59	-0.004	-1.528	0.251	-0.042	-0.021	-0.888	3.092	-0.131	-0.011	-0.666	-0.666	-0.051	-0.654	0.312	0.099	1.661	3.904	0.311	0.394	-0.832	0.4	0.865	-0.047	-0.112	1.431	0.278	1.674	0.757	-0.187	0.673	-0.751	-0.188	2.731	2.806	-0.475	-1.11	-0.118	-1.883	-0.681	-0.051	0.015	-0.88	-0.177	0.641	-0.604	-0.102	-0.871	1.438	1.509	0.396	0.149
2	171281423	SP5	-1.097	-2.15	0.317	-1.065	4.19	-0.63	0.364	-1.283	3.12	-2.072	-1.751	2.848	-0.129	-1.692	-2.301	2.639	-1.589	-1.292	-0.118	-0.196	-0.27	-0.034	-1.118	-0.021	-2.11	3.197	1.924	-2.088	-1.783	2.248	-2.118	-0.452	-0.547	-1.028	2.974	0.179	0.145	-0.383	-0.655	-1.458	-0.775	-0.767	1.912	1.506	-0.761	1.141	-2.061	0.967	-0.373	-1.052	-1.454	1.322	0.253	-1.395	-0.191	0.178	-0.5	1.95	-0.504	-1.226
2	171403675	GAD1	2.435	-0.992	0.082	0.705	-0.369	1.339	3.217	-0.567	5.181	-0.841	-1.374	5.302	0.882	-0.63	-1.098	3.598	-0.313	-0.826	0.976	-1.033	-0.108	-0.82	-0.163	0.324	0.101	4.962	-0.003	0.158	-0.456	1.766	-0.762	-0.647	-0.553	-0.657	3.365	-1.274	3.408	1.484	-0.801	-0.569	-0.72	4.176	4.952	2.619	0.159	1.985	0.123	-0.412	0.485	-0.545	0.11	1.217	0.174	1.617	-0.492	0.483	0.893	3.329	-0.599	0.851
2	172105000	CYBRD1	-3.49	-2.806	0.677	-1.127	-1.669	-0.628	1.856	-1.8	-0.903	1.123	1.463	1.519	-1.49	-0.751	-1.304	-0.241	-1.118	-1.354	0.7	-3.642	-3.143	-1.406	0.235	-2.612	-1.045	1.448	1.21	-0.162	0.447	2.043	-0.886	0.126	-2.674	-1.836	1.159	0.038	1.454	2.686	-0.704	2.516	0.6	1.07	2.978	-2.651	-2.84	-2.084	-1.452	1.428	-1.457	-2.997	-0.088	-2.855	0.246	-2.031	-1.036	-1.988	-0.348	2.95	-2.3	-0.245
2	172674068	DLX2	1.881	0.202	1.553	1.544	-1.415	-0.84	1.364	-0.953	0.687	-0.604	-0.11	0.123	0.843	-0.888	1.577	4.107	-0.47	-1.029	0.009	1.723	-0.76	-0.416	-1.519	1.484	-0.328	-0.793	0.179	-1.512	0.087	-0.131	5.276	4.514	-1.002	-1.582	4.306	-0.821	-0.671	2.513	0.046	-0.224	-1.712	1.883	0.457	-1.639	-0.319	-1.14	-0.658	-1.805	-0.526	0.411	-1.291	-0.719	-0.999	1.056	-1.473	-0.823	1.174	5.366	0.581	5.817
2	173039993	ITGA6	0.373	3.738	0.237	1.408	1.624	-0.827	-0.3	-0.99	-1.026	-1.482	-2.596	0.072	-0.735	-1.002	3.684	1.479	1.973	1.542	0.708	0.309	-1.11	-0.39	-0.55	0.955	2.297	-0.284	1.253	1.161	-0.245	-0.486	3.149	-0.698	-1.866	1.868	0.899	-1.771	0.969	0.13	-1.326	-0.925	0.556	1.032	1.039	2.353	-2.238	-1.733	-0.269	-0.113	0.628	2.286	-0.157	-1.499	1.582	-1.713	0.191	0.296	2.012	0.959	-0.962	1.029
